f1,f2,f3,f4,f5,label
0.6695907794784146,0.8082757633079675,0.4263828645511177,0.6610697065543013,0.9130585881257908,1
0.907574651630474,0.0897967424945651,0.968658163953694,0.4641869127208069,0.4974197479319632,1
0.6679273806561052,0.1466872330781408,0.4432507359802363,0.7432140882154837,0.6242571935369473,0
0.0783975784151861,0.3960219081498841,0.0790730442396129,0.0188852674199986,0.4274937477592591,0
0.4755119525086868,0.8976242304843551,0.4157915313673567,0.7667761090134689,0.0359601085884819,1
0.9351883931467792,0.7098796640227225,0.7035175931424867,0.7811604979939912,0.3801156186851891,1
0.1513029869671064,0.3606817186396469,0.972615821869286,0.4106469303096483,0.363572477929439,1
0.0260274437121137,0.8855225375211916,0.6949753197239389,0.4239574254042062,0.5544173435082865,0
0.1917974119324046,0.4667084168148928,0.8598048144070931,0.2136583205098075,0.3217137440677862,1
0.0913012004077061,0.8193118719643339,0.2253800754114904,0.3703181229056613,0.6251382193265774,0
0.3954432547641971,0.6733236010853572,0.4657504349356642,0.4807904410735051,0.3725035718710613,1
0.7173842012264889,0.9554213702150796,0.613841736454617,0.5844226501908772,0.9514337282294334,1
0.4257371582242211,0.6047824363195883,0.6973525347930077,0.780070709697355,0.4920821612658691,1
0.4712419201518992,0.7956563980708865,0.1497376116868222,0.787259149741157,0.408559250143791,0
0.1731456921752987,0.4821160935430248,0.0183077573401786,0.3714255178485874,0.9005775099413612,0
0.594810421109217,0.2425648572247072,0.6785067830500496,0.7678118808518114,0.9824276675008136,1
0.0179053323811909,0.2661970046225654,0.6435422727647923,0.9375425324741368,0.5145954511946008,0
0.8317016227959315,0.3688681421371685,0.380247107293338,0.8839961052354017,0.2634389107740862,1
0.2232555446657763,0.0725332140092167,0.5372832273163535,0.8396999686023594,0.8792424113171505,0
0.2417745514075251,0.2443574966350513,0.6855619096728969,0.7579329707936353,0.0057252471339405,1
0.8021238361466062,0.1015359720050277,0.4257568127343385,0.5529406364093769,0.8552955093912906,1
0.0525164250502548,0.9087836531524656,0.330384993086712,0.6298174736747799,0.4910052100635634,0
0.4359266941806734,0.0498835145699617,0.1462599754968643,0.8474948343976786,0.7332630930711576,0
0.1905716339657335,0.4317265038655208,0.4190112249642272,0.0968426025069824,0.1518119582106181,0
0.2237508460768571,0.045950294657119,0.7322864577207185,0.3566206685909938,0.5287484512234142,0
0.8691851133281072,0.1698078022043904,0.0541591604447676,0.6645663151915816,0.0283572556128259,0
0.9321013041556734,0.0279282499389301,0.3051364840611831,0.1633137831201355,0.564272642500147,0
0.3874218294153952,0.2078257775220156,0.7115509191812134,0.938073167699302,0.4213121597009964,1
0.7973424859116649,0.9473959571102956,0.2148729804429289,0.5359955624350472,0.873613712812741,1
0.2300997555955864,0.0054847990288754,0.4484598233030755,0.2298974962179174,0.0519431249946713,0
0.9183133489557156,0.6241539662992189,0.983603657280582,0.910851401155976,0.2315862535257008,1
0.339183058536322,0.0991645400346258,0.2799175029104985,0.2740275150290808,0.7238485165758277,0
0.0173194217949057,0.5387243878094793,0.578821548469283,0.0340762437865101,0.506831325835676,0
0.3902021665891751,0.0190736236113058,0.6027759109121215,0.452280947771623,0.2103385866236626,0
0.4240249861587369,0.093308350262977,0.1682266131086721,0.1281154919549115,0.7592985201625555,0
0.1783423429155597,0.8258299142721823,0.1247225801373284,0.1763623435062398,0.586481118972458,0
0.3323425337596351,0.5729831401128291,0.0132832515458838,0.8826364184757783,0.4470965118910965,0
0.9053113572587416,0.7109661845774623,0.1404919028056556,0.1805335017725103,0.6207392276046021,0
0.6950889741249219,0.9583605445795328,0.1357307804569385,0.2731854146195941,0.6539297951646192,1
0.144014587951419,0.3068069792760819,0.8943944520316301,0.2241554356418734,0.6462322445520425,1
0.7324500061534043,0.7028346047726098,0.0413596536622413,0.7928033367030967,0.9739530147404688,0
0.087047188981772,0.5750415016603411,0.0873090203853395,0.3621537778060958,0.0023536576766977,0
0.9879385470261908,0.0284764542329869,0.5500479574809549,0.2814372631323001,0.2404154719842245,1
0.0541608778920686,0.3544899652363392,0.6796811997915166,0.6195843752647777,0.6627518634975165,0
0.9996845754342788,0.6469361702787877,0.6926096778329388,0.2675360955649316,0.9557094222214518,1
0.1836295081802336,0.2453450862204633,0.5764907591949388,0.903773170731402,0.9207271944906664,0
0.4137908333245527,0.3875414361977682,0.6652750020783679,0.223356116174065,0.2976670998279583,1
0.1152631241144687,0.6346289086433383,0.9267824404582028,0.2818148058473935,0.2539630979068996,1
0.5060682157917625,0.1120925839493237,0.1053601466224369,0.5780065794819063,0.6789177040198545,0
0.3446978304764704,0.6234679847261748,0.4681254769706868,0.624541383668796,0.0204936772953876,0
0.0838971144596648,0.5884547576921947,0.8586290559093687,0.0454787572502938,0.5250800848921032,0
0.9811350710014428,0.3337533759232134,0.8899272955563021,0.9395658817632332,0.557271612443831,1
0.5088608695781254,0.5179187116752286,0.8221188586686291,0.1681295219386951,0.1299364055512992,1
0.3119353064427127,0.9603559385629892,0.9053577572526657,0.2595289243948701,0.5267782739056213,1
0.0228619624860336,0.9114981160524904,0.2518108917402483,0.8423875159673462,0.3407015995488917,0
0.0384035623046854,0.3066049567661495,0.900512689589191,0.4634929541694704,0.3273517053450416,0
0.5652004999589924,0.2493811270522405,0.0437816928738445,0.7835938063531926,0.2727349690227082,0
0.523315582417149,0.4087400699107262,0.3316193860809996,0.7537371155528386,0.8552705133001184,0
0.3186453810882828,0.1641825703026359,0.3616575785183483,0.9095338179365496,0.6748340562290315,0
0.5750482970689683,0.2518643073992643,0.685470350725048,0.6161858364258206,0.7424938924587903,1
0.3661341910695358,0.9460873030340148,0.6848956794121569,0.3211208685887141,0.9550314557617936,1
0.7735272479093398,0.0731621799049064,0.5975215123772695,0.3964799298106403,0.913436959621569,1
0.236805157361532,0.2561277819755646,0.7057486412586155,0.896491195779388,0.1035659047822161,0
0.8976520537901249,0.2410671879180044,0.6138925656488782,0.8537926660371996,0.4468298506034529,1
0.7137836187759845,0.313750579431148,0.7306429145248852,0.3712418216774812,0.8609790382965974,1
0.5264892836104235,0.4761903126896231,0.8914517018422208,0.2665987288899359,0.5615341039793755,1
0.3387227272842835,0.2798846998059998,0.8121812596327981,0.616472308817921,0.5827319973574157,1
0.1858699406132966,0.6830173621364848,0.0347623609484443,0.2111380302255816,0.963939565135598,0
0.5129142384918749,0.409787842489305,0.8923219093004359,0.4424477230807069,0.0603783663421196,1
0.6581630104738123,0.8880709641512293,0.1785010706275045,0.4184096441195331,0.2497187847707279,0
0.936896894864963,0.769025737013887,0.3753290988621856,0.9648478658336102,0.694898056965716,1
0.8885994000049356,0.2586075484748765,0.4675246688925835,0.5066921092672226,0.2670905748802755,1
